LISTING ID,Type,ADDRESS,City,STATE,ZIP,ListPrice,BEDS,BATHS,LOCATION,SQFT,ImputedSQFT,LOTSIZE,YEARBUILT,ParkSpots,HasGarage,DOM,RECENT_REDUCTION_DATE,BeenReduced,OrigList,LAST_SALE_DATE,SoldPrev,LastPrice,ORIGINAL SOURCE,LATITUDE,LONGITUDE,Test
9185992,Single Family Residential,1005 E Orchard St,Arlington Heights,IL,60005,389900,3,3,Arlington Heights,,2109,,1970,2,Garage,37,04/20/2016,Yes,400000,10/04/2004,Yes,385000,RE/MAX,42.0681136,-87.9705452,0
9186048,Single Family Residential,4230 N Walnut Ave,Arlington Heights,IL,60004,519000,5,3,Arlington Heights,3330,3330,9016,1985,2,Garage,37,05/11/2016,Yes,545000,,No,,Jameson Sotheby's,42.15266,-87.991702,0
9186084,Single Family Residential,1673 N Belmont Ct #1673,Arlington Heights,IL,60004,249900,2,2,Arlington Heights,,1382,,1988,1,Garage,37,,No,249900,,No,,Coldwell Banker,42.106755,-87.977282,0
9186101,Condo/Coop,10 S Dunton Ave #504,Arlington Heights,IL,60005,199900,1,1.5,Arlington Heights,900,900,,2007,0,None,37,05/03/2016,Yes,217000,04/04/2007,Yes,339500,"Chicagoland Realty, LLC",42.0822435,-87.9833297,1
9186253,Single Family Residential,421 W Hawthorne St,Arlington Heights,IL,60004,625000,4,2.5,Arlington Heights,3110,3110,7405,1998,3,Garage,37,05/02/2016,Yes,650000,02/22/2010,Yes,550000,Baird & Warner,42.089891,-87.988494,0
9186547,Condo/Coop,1225 Luther Ln Unit 367D,Arlington Heights,IL,60004,360000,2,2,Arlington Heights,1372,1372,,1999,1,Garage,37,,No,360000,,No,,Coldwell Banker,42.099979,-87.992595,1
9186745,Single Family Residential,1211 W Thomas St,Arlington Heights,IL,60004,544900,4,2.5,Arlington Heights,2282,2282,11325,1965,2,Garage,37,,No,544900,12/06/2005,Yes,550000,Coldwell Banker,42.10253,-87.998523,1
9186996,Single Family Residential,636 S Salem Ave,Arlington Heights,IL,60005,499000,4,3,Arlington Heights,2396,2396,8712,1961,2,Garage,37,,No,499000,08/16/2007,Yes,522500,Keller Williams,42.072307,-87.993116,1
9187417,Single Family Residential,1941 N WINDHAM Ct,Arlington Heights,IL,60004,379900,3,2.5,Arlington Heights,1960,1960,,1989,2,Garage,36,04/17/2016,Yes,384900,08/04/1999,Yes,270000,RE/MAX,42.113651,-87.985255,0
9187536,Single Family Residential,619 S Bristol Ln,Arlington Heights,IL,60005,474000,2,2.5,Arlington Heights,1744,1744,9239,1941,2,Garage,36,05/10/2016,Yes,485000,08/08/2013,Yes,472000,Coldwell Banker,42.073051,-87.975347,0
9187749,Single Family Residential,2620 N DRYDEN Pl,Arlington Heights,IL,60004,549925,4,2.5,Arlington Heights,2845,2845,8468,1973,2,Garage,36,,No,549925,06/22/2006,Yes,530000,Coldwell Banker,42.124243,-87.970328,1
9187854,Multi-Family,512 W Wing St,Arlington Heights,IL,60005,398000,4,2,Arlington Heights,,1920,,1929,2,Garage,36,,No,398000,,No,,Picket Fence Realty,42.084043,-87.989608,0
9188137,Single Family Residential,1014 E Marion St,Arlington Heights,IL,60004,534000,4,2.5,Arlington Heights,2300,2300,9239,1966,2,Garage,36,05/03/2016,Yes,549000,,No,,@properties,42.101192,-87.96964,0
9188663,Single Family Residential,7 W Cedar St,Arlington Heights,IL,60005,475000,4,2.5,Arlington Heights,2805,2805,8712,1967,2,Garage,35,05/10/2016,Yes,485000,07/09/2013,Yes,457500,The Royal Family Real Estate,42.058453,-87.982703,0
