"Notes"	"County"	"County Code"	"Month"	"Month Code"	Births
	"Baldwin County, AL"	"01003"	"January"	"1"	200
	"Baldwin County, AL"	"01003"	"February"	"2"	165
	"Baldwin County, AL"	"01003"	"March"	"3"	163
	"Baldwin County, AL"	"01003"	"April"	"4"	190
	"Baldwin County, AL"	"01003"	"May"	"5"	157
	"Baldwin County, AL"	"01003"	"June"	"6"	173
	"Baldwin County, AL"	"01003"	"July"	"7"	199
	"Baldwin County, AL"	"01003"	"August"	"8"	198
	"Baldwin County, AL"	"01003"	"September"	"9"	157
	"Baldwin County, AL"	"01003"	"October"	"10"	186
	"Baldwin County, AL"	"01003"	"November"	"11"	184
	"Baldwin County, AL"	"01003"	"December"	"12"	188
"Total"	"Baldwin County, AL"	"01003"			2160
	"Calhoun County, AL"	"01015"	"January"	"1"	103
	"Calhoun County, AL"	"01015"	"February"	"2"	81
	"Calhoun County, AL"	"01015"	"March"	"3"	110
	"Calhoun County, AL"	"01015"	"April"	"4"	100
	"Calhoun County, AL"	"01015"	"May"	"5"	116
	"Calhoun County, AL"	"01015"	"June"	"6"	125
	"Calhoun County, AL"	"01015"	"July"	"7"	116
	"Calhoun County, AL"	"01015"	"August"	"8"	125
	"Calhoun County, AL"	"01015"	"September"	"9"	104
	"Calhoun County, AL"	"01015"	"October"	"10"	116
	"Calhoun County, AL"	"01015"	"November"	"11"	131
	"Calhoun County, AL"	"01015"	"December"	"12"	120
"Total"	"Calhoun County, AL"	"01015"			1347
	"Etowah County, AL"	"01055"	"January"	"1"	107
	"Etowah County, AL"	"01055"	"February"	"2"	98
	"Etowah County, AL"	"01055"	"March"	"3"	80
	"Etowah County, AL"	"01055"	"April"	"4"	91
	"Etowah County, AL"	"01055"	"May"	"5"	107
	"Etowah County, AL"	"01055"	"June"	"6"	73
	"Etowah County, AL"	"01055"	"July"	"7"	101
	"Etowah County, AL"	"01055"	"August"	"8"	99
	"Etowah County, AL"	"01055"	"September"	"9"	107
	"Etowah County, AL"	"01055"	"October"	"10"	107
	"Etowah County, AL"	"01055"	"November"	"11"	92
	"Etowah County, AL"	"01055"	"December"	"12"	120
"Total"	"Etowah County, AL"	"01055"			1182
	"Jefferson County, AL"	"01073"	"January"	"1"	756
	"Jefferson County, AL"	"01073"	"February"	"2"	679
	"Jefferson County, AL"	"01073"	"March"	"3"	699
	"Jefferson County, AL"	"01073"	"April"	"4"	650
	"Jefferson County, AL"	"01073"	"May"	"5"	731
	"Jefferson County, AL"	"01073"	"June"	"6"	683
	"Jefferson County, AL"	"01073"	"July"	"7"	752
	"Jefferson County, AL"	"01073"	"August"	"8"	781
	"Jefferson County, AL"	"01073"	"September"	"9"	724
	"Jefferson County, AL"	"01073"	"October"	"10"	695
	"Jefferson County, AL"	"01073"	"November"	"11"	714
	"Jefferson County, AL"	"01073"	"December"	"12"	776
"Total"	"Jefferson County, AL"	"01073"			8640
	"Lee County, AL"	"01081"	"January"	"1"	173
	"Lee County, AL"	"01081"	"February"	"2"	140
