"Notes"	"County"	"County Code"	"Month"	"Month Code"	Births
	"Baldwin County, AL"	"01003"	"January"	"1"	187
	"Baldwin County, AL"	"01003"	"February"	"2"	145
	"Baldwin County, AL"	"01003"	"March"	"3"	181
	"Baldwin County, AL"	"01003"	"April"	"4"	171
	"Baldwin County, AL"	"01003"	"May"	"5"	178
	"Baldwin County, AL"	"01003"	"June"	"6"	179
	"Baldwin County, AL"	"01003"	"July"	"7"	187
	"Baldwin County, AL"	"01003"	"August"	"8"	192
	"Baldwin County, AL"	"01003"	"September"	"9"	185
	"Baldwin County, AL"	"01003"	"October"	"10"	177
	"Baldwin County, AL"	"01003"	"November"	"11"	153
	"Baldwin County, AL"	"01003"	"December"	"12"	190
"Total"	"Baldwin County, AL"	"01003"			2125
	"Calhoun County, AL"	"01015"	"January"	"1"	125
	"Calhoun County, AL"	"01015"	"February"	"2"	111
	"Calhoun County, AL"	"01015"	"March"	"3"	138
	"Calhoun County, AL"	"01015"	"April"	"4"	125
	"Calhoun County, AL"	"01015"	"May"	"5"	104
	"Calhoun County, AL"	"01015"	"June"	"6"	134
	"Calhoun County, AL"	"01015"	"July"	"7"	134
	"Calhoun County, AL"	"01015"	"August"	"8"	155
	"Calhoun County, AL"	"01015"	"September"	"9"	118
	"Calhoun County, AL"	"01015"	"October"	"10"	112
	"Calhoun County, AL"	"01015"	"November"	"11"	137
	"Calhoun County, AL"	"01015"	"December"	"12"	127
"Total"	"Calhoun County, AL"	"01015"			1520
	"Etowah County, AL"	"01055"	"January"	"1"	116
	"Etowah County, AL"	"01055"	"February"	"2"	77
	"Etowah County, AL"	"01055"	"March"	"3"	110
	"Etowah County, AL"	"01055"	"April"	"4"	89
	"Etowah County, AL"	"01055"	"May"	"5"	100
	"Etowah County, AL"	"01055"	"June"	"6"	115
	"Etowah County, AL"	"01055"	"July"	"7"	125
	"Etowah County, AL"	"01055"	"August"	"8"	106
	"Etowah County, AL"	"01055"	"September"	"9"	111
