"Notes"	"County"	"County Code"	"Month"	"Month Code"	Births
	"Baldwin County, AL"	"01003"	"January"	"1"	178
	"Baldwin County, AL"	"01003"	"February"	"2"	187
	"Baldwin County, AL"	"01003"	"March"	"3"	186
	"Baldwin County, AL"	"01003"	"April"	"4"	172
	"Baldwin County, AL"	"01003"	"May"	"5"	171
	"Baldwin County, AL"	"01003"	"June"	"6"	173
	"Baldwin County, AL"	"01003"	"July"	"7"	189
	"Baldwin County, AL"	"01003"	"August"	"8"	193
	"Baldwin County, AL"	"01003"	"September"	"9"	177
	"Baldwin County, AL"	"01003"	"October"	"10"	181
	"Baldwin County, AL"	"01003"	"November"	"11"	162
	"Baldwin County, AL"	"01003"	"December"	"12"	188
"Total"	"Baldwin County, AL"	"01003"			2157
	"Calhoun County, AL"	"01015"	"January"	"1"	121
	"Calhoun County, AL"	"01015"	"February"	"2"	110
	"Calhoun County, AL"	"01015"	"March"	"3"	112
	"Calhoun County, AL"	"01015"	"April"	"4"	97
	"Calhoun County, AL"	"01015"	"May"	"5"	121
	"Calhoun County, AL"	"01015"	"June"	"6"	132
	"Calhoun County, AL"	"01015"	"July"	"7"	150
	"Calhoun County, AL"	"01015"	"August"	"8"	127
	"Calhoun County, AL"	"01015"	"September"	"9"	116
	"Calhoun County, AL"	"01015"	"October"	"10"	107
	"Calhoun County, AL"	"01015"	"November"	"11"	122
	"Calhoun County, AL"	"01015"	"December"	"12"	103
"Total"	"Calhoun County, AL"	"01015"			1418
	"Etowah County, AL"	"01055"	"January"	"1"	107
	"Etowah County, AL"	"01055"	"February"	"2"	86
	"Etowah County, AL"	"01055"	"March"	"3"	109
	"Etowah County, AL"	"01055"	"April"	"4"	93
	"Etowah County, AL"	"01055"	"May"	"5"	87
	"Etowah County, AL"	"01055"	"June"	"6"	97
	"Etowah County, AL"	"01055"	"July"	"7"	120
	"Etowah County, AL"	"01055"	"August"	"8"	86
	"Etowah County, AL"	"01055"	"September"	"9"	99
	"Etowah County, AL"	"01055"	"October"	"10"	95
	"Etowah County, AL"	"01055"	"November"	"11"	90
	"Etowah County, AL"	"01055"	"December"	"12"	104
"Total"	"Etowah County, AL"	"01055"			1173
