"Notes"	"County"	"County Code"	"Month"	"Month Code"	Births
	"Baldwin County, AL"	"01003"	"January"	"1"	177
	"Baldwin County, AL"	"01003"	"February"	"2"	171
	"Baldwin County, AL"	"01003"	"March"	"3"	188
	"Baldwin County, AL"	"01003"	"April"	"4"	176
	"Baldwin County, AL"	"01003"	"May"	"5"	167
	"Baldwin County, AL"	"01003"	"June"	"6"	172
	"Baldwin County, AL"	"01003"	"July"	"7"	191
	"Baldwin County, AL"	"01003"	"August"	"8"	180
	"Baldwin County, AL"	"01003"	"September"	"9"	206
	"Baldwin County, AL"	"01003"	"October"	"10"	182
	"Baldwin County, AL"	"01003"	"November"	"11"	176
	"Baldwin County, AL"	"01003"	"December"	"12"	181
"Total"	"Baldwin County, AL"	"01003"			2167
	"Calhoun County, AL"	"01015"	"January"	"1"	115
	"Calhoun County, AL"	"01015"	"February"	"2"	88
	"Calhoun County, AL"	"01015"	"March"	"3"	113
	"Calhoun County, AL"	"01015"	"April"	"4"	96
	"Calhoun County, AL"	"01015"	"May"	"5"	93
	"Calhoun County, AL"	"01015"	"June"	"6"	128
	"Calhoun County, AL"	"01015"	"July"	"7"	113
	"Calhoun County, AL"	"01015"	"August"	"8"	111
	"Calhoun County, AL"	"01015"	"September"	"9"	115
	"Calhoun County, AL"	"01015"	"October"	"10"	127
	"Calhoun County, AL"	"01015"	"November"	"11"	124
	"Calhoun County, AL"	"01015"	"December"	"12"	95
"Total"	"Calhoun County, AL"	"01015"			1318
	"Etowah County, AL"	"01055"	"January"	"1"	97
	"Etowah County, AL"	"01055"	"February"	"2"	102
	"Etowah County, AL"	"01055"	"March"	"3"	110
	"Etowah County, AL"	"01055"	"April"	"4"	96
	"Etowah County, AL"	"01055"	"May"	"5"	74
	"Etowah County, AL"	"01055"	"June"	"6"	90
	"Etowah County, AL"	"01055"	"July"	"7"	111
	"Etowah County, AL"	"01055"	"August"	"8"	121
	"Etowah County, AL"	"01055"	"September"	"9"	122
	"Etowah County, AL"	"01055"	"October"	"10"	109
	"Etowah County, AL"	"01055"	"November"	"11"	104
	"Etowah County, AL"	"01055"	"December"	"12"	100
"Total"	"Etowah County, AL"	"01055"			1236
	"Jefferson County, AL"	"01073"	"January"	"1"	764
	"Jefferson County, AL"	"01073"	"February"	"2"	733
	"Jefferson County, AL"	"01073"	"March"	"3"	751
	"Jefferson County, AL"	"01073"	"April"	"4"	661
	"Jefferson County, AL"	"01073"	"May"	"5"	728
	"Jefferson County, AL"	"01073"	"June"	"6"	716
	"Jefferson County, AL"	"01073"	"July"	"7"	791
	"Jefferson County, AL"	"01073"	"August"	"8"	758
	"Jefferson County, AL"	"01073"	"September"	"9"	807
	"Jefferson County, AL"	"01073"	"October"	"10"	715
	"Jefferson County, AL"	"01073"	"November"	"11"	710
	"Jefferson County, AL"	"01073"	"December"	"12"	760
"Total"	"Jefferson County, AL"	"01073"			8894
	"Lee County, AL"	"01081"	"January"	"1"	122
	"Lee County, AL"	"01081"	"February"	"2"	128
	"Lee County, AL"	"01081"	"March"	"3"	136
	"Lee County, AL"	"01081"	"April"	"4"	135
	"Lee County, AL"	"01081"	"May"	"5"	117
	"Lee County, AL"	"01081"	"June"	"6"	124
	"Lee County, AL"	"01081"	"July"	"7"	121
	"Lee County, AL"	"01081"	"August"	"8"	120
	"Lee County, AL"	"01081"	"September"	"9"	145
	"Lee County, AL"	"01081"	"October"	"10"	131
	"Lee County, AL"	"01081"	"November"	"11"	123
	"Lee County, AL"	"01081"	"December"	"12"	130
"Total"	"Lee County, AL"	"01081"			1532
	"Madison County, AL"	"01089"	"January"	"1"	315
	"Madison County, AL"	"01089"	"February"	"2"	319
	"Madison County, AL"	"01089"	"March"	"3"	408
	"Madison County, AL"	"01089"	"April"	"4"	291
	"Madison County, AL"	"01089"	"May"	"5"	318
	"Madison County, AL"	"01089"	"June"	"6"	355
	"Madison County, AL"	"01089"	"July"	"7"	366
	"Madison County, AL"	"01089"	"August"	"8"	366
	"Madison County, AL"	"01089"	"September"	"9"	380
	"Madison County, AL"	"01089"	"October"	"10"	351
	"Madison County, AL"	"01089"	"November"	"11"	359
	"Madison County, AL"	"01089"	"December"	"12"	367
"Total"	"Madison County, AL"	"01089"			4195
	"Mobile County, AL"	"01097"	"January"	"1"	488
	"Mobile County, AL"	"01097"	"February"	"2"	434
	"Mobile County, AL"	"01097"	"March"	"3"	499
	"Mobile County, AL"	"01097"	"April"	"4"	454
	"Mobile County, AL"	"01097"	"May"	"5"	425
	"Mobile County, AL"	"01097"	"June"	"6"	465
	"Mobile County, AL"	"01097"	"July"	"7"	456
	"Mobile County, AL"	"01097"	"August"	"8"	510
	"Mobile County, AL"	"01097"	"September"	"9"	527
	"Mobile County, AL"	"01097"	"October"	"10"	470
	"Mobile County, AL"	"01097"	"November"	"11"	498
	"Mobile County, AL"	"01097"	"December"	"12"	481
"Total"	"Mobile County, AL"	"01097"			5707
	"Montgomery County, AL"	"01101"	"January"	"1"	271
	"Montgomery County, AL"	"01101"	"February"	"2"	236
	"Montgomery County, AL"	"01101"	"March"	"3"	261
	"Montgomery County, AL"	"01101"	"April"	"4"	237
	"Montgomery County, AL"	"01101"	"May"	"5"	250
	"Montgomery County, AL"	"01101"	"June"	"6"	224
	"Montgomery County, AL"	"01101"	"July"	"7"	274
	"Montgomery County, AL"	"01101"	"August"	"8"	270
	"Montgomery County, AL"	"01101"	"September"	"9"	294
	"Montgomery County, AL"	"01101"	"October"	"10"	262
	"Montgomery County, AL"	"01101"	"November"	"11"	249
	"Montgomery County, AL"	"01101"	"December"	"12"	256
"Total"	"Montgomery County, AL"	"01101"			3084
	"Morgan County, AL"	"01103"	"January"	"1"	124
	"Morgan County, AL"	"01103"	"February"	"2"	95
	"Morgan County, AL"	"01103"	"March"	"3"	111
	"Morgan County, AL"	"01103"	"April"	"4"	124
	"Morgan County, AL"	"01103"	"May"	"5"	123
	"Morgan County, AL"	"01103"	"June"	"6"	137
	"Morgan County, AL"	"01103"	"July"	"7"	132
	"Morgan County, AL"	"01103"	"August"	"8"	121
	"Morgan County, AL"	"01103"	"September"	"9"	131
	"Morgan County, AL"	"01103"	"October"	"10"	134
	"Morgan County, AL"	"01103"	"November"	"11"	138
	"Morgan County, AL"	"01103"	"December"	"12"	134
"Total"	"Morgan County, AL"	"01103"			1504
	"Shelby County, AL"	"01117"	"January"	"1"	221
	"Shelby County, AL"	"01117"	"February"	"2"	171
	"Shelby County, AL"	"01117"	"March"	"3"	213
	"Shelby County, AL"	"01117"	"April"	"4"	209
	"Shelby County, AL"	"01117"	"May"	"5"	226
	"Shelby County, AL"	"01117"	"June"	"6"	195
	"Shelby County, AL"	"01117"	"July"	"7"	185
	"Shelby County, AL"	"01117"	"August"	"8"	227
	"Shelby County, AL"	"01117"	"September"	"9"	238
	"Shelby County, AL"	"01117"	"October"	"10"	195
	"Shelby County, AL"	"01117"	"November"	"11"	202
	"Shelby County, AL"	"01117"	"December"	"12"	216
"Total"	"Shelby County, AL"	"01117"			2498
	"Tuscaloosa County, AL"	"01125"	"January"	"1"	188
	"Tuscaloosa County, AL"	"01125"	"February"	"2"	217
	"Tuscaloosa County, AL"	"01125"	"March"	"3"	219
	"Tuscaloosa County, AL"	"01125"	"April"	"4"	174
	"Tuscaloosa County, AL"	"01125"	"May"	"5"	189
	"Tuscaloosa County, AL"	"01125"	"June"	"6"	197
	"Tuscaloosa County, AL"	"01125"	"July"	"7"	232
	"Tuscaloosa County, AL"	"01125"	"August"	"8"	259
	"Tuscaloosa County, AL"	"01125"	"September"	"9"	208
	"Tuscaloosa County, AL"	"01125"	"October"	"10"	196
	"Tuscaloosa County, AL"	"01125"	"November"	"11"	179
	"Tuscaloosa County, AL"	"01125"	"December"	"12"	212
"Total"	"Tuscaloosa County, AL"	"01125"			2470
	"Unidentified Counties, AL"	"01999"	"January"	"1"	2035
	"Unidentified Counties, AL"	"01999"	"February"	"2"	1923
	"Unidentified Counties, AL"	"01999"	"March"	"3"	2053
	"Unidentified Counties, AL"	"01999"	"April"	"4"	2009
	"Unidentified Counties, AL"	"01999"	"May"	"5"	2006
	"Unidentified Counties, AL"	"01999"	"June"	"6"	2038
	"Unidentified Counties, AL"	"01999"	"July"	"7"	2281
	"Unidentified Counties, AL"	"01999"	"August"	"8"	2239
	"Unidentified Counties, AL"	"01999"	"September"	"9"	2319
	"Unidentified Counties, AL"	"01999"	"October"	"10"	2162
	"Unidentified Counties, AL"	"01999"	"November"	"11"	2240
	"Unidentified Counties, AL"	"01999"	"December"	"12"	2140
"Total"	"Unidentified Counties, AL"	"01999"			25445
	"Anchorage Borough, AK"	"02020"	"January"	"1"	378
	"Anchorage Borough, AK"	"02020"	"February"	"2"	349
	"Anchorage Borough, AK"	"02020"	"March"	"3"	354
	"Anchorage Borough, AK"	"02020"	"April"	"4"	356
	"Anchorage Borough, AK"	"02020"	"May"	"5"	398
	"Anchorage Borough, AK"	"02020"	"June"	"6"	408
	"Anchorage Borough, AK"	"02020"	"July"	"7"	398
	"Anchorage Borough, AK"	"02020"	"August"	"8"	406
	"Anchorage Borough, AK"	"02020"	"September"	"9"	399
	"Anchorage Borough, AK"	"02020"	"October"	"10"	385
	"Anchorage Borough, AK"	"02020"	"November"	"11"	363
	"Anchorage Borough, AK"	"02020"	"December"	"12"	381
"Total"	"Anchorage Borough, AK"	"02020"			4575
	"Unidentified Counties, AK"	"02999"	"January"	"1"	546
	"Unidentified Counties, AK"	"02999"	"February"	"2"	468
	"Unidentified Counties, AK"	"02999"	"March"	"3"	581
	"Unidentified Counties, AK"	"02999"	"April"	"4"	557
	"Unidentified Counties, AK"	"02999"	"May"	"5"	566
	"Unidentified Counties, AK"	"02999"	"June"	"6"	617
	"Unidentified Counties, AK"	"02999"	"July"	"7"	616
	"Unidentified Counties, AK"	"02999"	"August"	"8"	640
	"Unidentified Counties, AK"	"02999"	"September"	"9"	567
	"Unidentified Counties, AK"	"02999"	"October"	"10"	580
	"Unidentified Counties, AK"	"02999"	"November"	"11"	560
	"Unidentified Counties, AK"	"02999"	"December"	"12"	598
"Total"	"Unidentified Counties, AK"	"02999"			6896
	"Cochise County, AZ"	"04003"	"January"	"1"	149
	"Cochise County, AZ"	"04003"	"February"	"2"	145
	"Cochise County, AZ"	"04003"	"March"	"3"	147
	"Cochise County, AZ"	"04003"	"April"	"4"	127
	"Cochise County, AZ"	"04003"	"May"	"5"	136
	"Cochise County, AZ"	"04003"	"June"	"6"	131
	"Cochise County, AZ"	"04003"	"July"	"7"	150
	"Cochise County, AZ"	"04003"	"August"	"8"	163
	"Cochise County, AZ"	"04003"	"September"	"9"	172
	"Cochise County, AZ"	"04003"	"October"	"10"	152
	"Cochise County, AZ"	"04003"	"November"	"11"	155
	"Cochise County, AZ"	"04003"	"December"	"12"	156
"Total"	"Cochise County, AZ"	"04003"			1783
	"Coconino County, AZ"	"04005"	"January"	"1"	144
	"Coconino County, AZ"	"04005"	"February"	"2"	134
	"Coconino County, AZ"	"04005"	"March"	"3"	161
	"Coconino County, AZ"	"04005"	"April"	"4"	148
	"Coconino County, AZ"	"04005"	"May"	"5"	139
	"Coconino County, AZ"	"04005"	"June"	"6"	142
	"Coconino County, AZ"	"04005"	"July"	"7"	168
	"Coconino County, AZ"	"04005"	"August"	"8"	145
	"Coconino County, AZ"	"04005"	"September"	"9"	165
	"Coconino County, AZ"	"04005"	"October"	"10"	148
	"Coconino County, AZ"	"04005"	"November"	"11"	147
	"Coconino County, AZ"	"04005"	"December"	"12"	143
"Total"	"Coconino County, AZ"	"04005"			1784
	"Maricopa County, AZ"	"04013"	"January"	"1"	4607
	"Maricopa County, AZ"	"04013"	"February"	"2"	4223
	"Maricopa County, AZ"	"04013"	"March"	"3"	4736
	"Maricopa County, AZ"	"04013"	"April"	"4"	4325
	"Maricopa County, AZ"	"04013"	"May"	"5"	4388
	"Maricopa County, AZ"	"04013"	"June"	"6"	4370
	"Maricopa County, AZ"	"04013"	"July"	"7"	4470
	"Maricopa County, AZ"	"04013"	"August"	"8"	4744
	"Maricopa County, AZ"	"04013"	"September"	"9"	4941
	"Maricopa County, AZ"	"04013"	"October"	"10"	4521
	"Maricopa County, AZ"	"04013"	"November"	"11"	4368
	"Maricopa County, AZ"	"04013"	"December"	"12"	4655
"Total"	"Maricopa County, AZ"	"04013"			54348
	"Mohave County, AZ"	"04015"	"January"	"1"	184
	"Mohave County, AZ"	"04015"	"February"	"2"	180
	"Mohave County, AZ"	"04015"	"March"	"3"	174
	"Mohave County, AZ"	"04015"	"April"	"4"	164
	"Mohave County, AZ"	"04015"	"May"	"5"	199
	"Mohave County, AZ"	"04015"	"June"	"6"	159
	"Mohave County, AZ"	"04015"	"July"	"7"	190
	"Mohave County, AZ"	"04015"	"August"	"8"	206
	"Mohave County, AZ"	"04015"	"September"	"9"	198
	"Mohave County, AZ"	"04015"	"October"	"10"	187
	"Mohave County, AZ"	"04015"	"November"	"11"	159
	"Mohave County, AZ"	"04015"	"December"	"12"	170
"Total"	"Mohave County, AZ"	"04015"			2170
	"Pima County, AZ"	"04019"	"January"	"1"	1042
	"Pima County, AZ"	"04019"	"February"	"2"	947
	"Pima County, AZ"	"04019"	"March"	"3"	1063
