"Notes"	"County"	"County Code"	"Month"	"Month Code"	Births
	"Baldwin County, AL"	"01003"	"January"	"1"	208
	"Baldwin County, AL"	"01003"	"February"	"2"	198
	"Baldwin County, AL"	"01003"	"March"	"3"	181
	"Baldwin County, AL"	"01003"	"April"	"4"	193
	"Baldwin County, AL"	"01003"	"May"	"5"	178
	"Baldwin County, AL"	"01003"	"June"	"6"	161
	"Baldwin County, AL"	"01003"	"July"	"7"	212
	"Baldwin County, AL"	"01003"	"August"	"8"	214
	"Baldwin County, AL"	"01003"	"September"	"9"	176
	"Baldwin County, AL"	"01003"	"October"	"10"	196
	"Baldwin County, AL"	"01003"	"November"	"11"	179
	"Baldwin County, AL"	"01003"	"December"	"12"	193
"Total"	"Baldwin County, AL"	"01003"			2289
	"Calhoun County, AL"	"01015"	"January"	"1"	141
	"Calhoun County, AL"	"01015"	"February"	"2"	133
	"Calhoun County, AL"	"01015"	"March"	"3"	129
	"Calhoun County, AL"	"01015"	"April"	"4"	124
	"Calhoun County, AL"	"01015"	"May"	"5"	131
	"Calhoun County, AL"	"01015"	"June"	"6"	118
	"Calhoun County, AL"	"01015"	"July"	"7"	131
	"Calhoun County, AL"	"01015"	"August"	"8"	135
	"Calhoun County, AL"	"01015"	"September"	"9"	115
	"Calhoun County, AL"	"01015"	"October"	"10"	127
	"Calhoun County, AL"	"01015"	"November"	"11"	110
	"Calhoun County, AL"	"01015"	"December"	"12"	134
"Total"	"Calhoun County, AL"	"01015"			1528
	"Etowah County, AL"	"01055"	"January"	"1"	107
	"Etowah County, AL"	"01055"	"February"	"2"	105
	"Etowah County, AL"	"01055"	"March"	"3"	94
	"Etowah County, AL"	"01055"	"April"	"4"	83
	"Etowah County, AL"	"01055"	"May"	"5"	104
	"Etowah County, AL"	"01055"	"June"	"6"	100
	"Etowah County, AL"	"01055"	"July"	"7"	117
	"Etowah County, AL"	"01055"	"August"	"8"	130
	"Etowah County, AL"	"01055"	"September"	"9"	89
	"Etowah County, AL"	"01055"	"October"	"10"	102
	"Etowah County, AL"	"01055"	"November"	"11"	117
	"Etowah County, AL"	"01055"	"December"	"12"	119
"Total"	"Etowah County, AL"	"01055"			1267
	"Jefferson County, AL"	"01073"	"January"	"1"	827
	"Jefferson County, AL"	"01073"	"February"	"2"	748
	"Jefferson County, AL"	"01073"	"March"	"3"	782
	"Jefferson County, AL"	"01073"	"April"	"4"	805
	"Jefferson County, AL"	"01073"	"May"	"5"	769
	"Jefferson County, AL"	"01073"	"June"	"6"	765
	"Jefferson County, AL"	"01073"	"July"	"7"	839
	"Jefferson County, AL"	"01073"	"August"	"8"	829
	"Jefferson County, AL"	"01073"	"September"	"9"	854
	"Jefferson County, AL"	"01073"	"October"	"10"	806
	"Jefferson County, AL"	"01073"	"November"	"11"	729
	"Jefferson County, AL"	"01073"	"December"	"12"	824
"Total"	"Jefferson County, AL"	"01073"			9577
	"Lee County, AL"	"01081"	"January"	"1"	145
	"Lee County, AL"	"01081"	"February"	"2"	148
	"Lee County, AL"	"01081"	"March"	"3"	159
	"Lee County, AL"	"01081"	"April"	"4"	129
	"Lee County, AL"	"01081"	"May"	"5"	138
	"Lee County, AL"	"01081"	"June"	"6"	130
	"Lee County, AL"	"01081"	"July"	"7"	163
	"Lee County, AL"	"01081"	"August"	"8"	154
	"Lee County, AL"	"01081"	"September"	"9"	150
	"Lee County, AL"	"01081"	"October"	"10"	144
	"Lee County, AL"	"01081"	"November"	"11"	119
	"Lee County, AL"	"01081"	"December"	"12"	144
"Total"	"Lee County, AL"	"01081"			1723
	"Madison County, AL"	"01089"	"January"	"1"	336
	"Madison County, AL"	"01089"	"February"	"2"	358
	"Madison County, AL"	"01089"	"March"	"3"	309
	"Madison County, AL"	"01089"	"April"	"4"	351
	"Madison County, AL"	"01089"	"May"	"5"	348
	"Madison County, AL"	"01089"	"June"	"6"	358
	"Madison County, AL"	"01089"	"July"	"7"	358
	"Madison County, AL"	"01089"	"August"	"8"	380
	"Madison County, AL"	"01089"	"September"	"9"	368
	"Madison County, AL"	"01089"	"October"	"10"	364
	"Madison County, AL"	"01089"	"November"	"11"	306
	"Madison County, AL"	"01089"	"December"	"12"	385
"Total"	"Madison County, AL"	"01089"			4221
	"Mobile County, AL"	"01097"	"January"	"1"	530
	"Mobile County, AL"	"01097"	"February"	"2"	487
	"Mobile County, AL"	"01097"	"March"	"3"	552
	"Mobile County, AL"	"01097"	"April"	"4"	480
	"Mobile County, AL"	"01097"	"May"	"5"	445
	"Mobile County, AL"	"01097"	"June"	"6"	484
	"Mobile County, AL"	"01097"	"July"	"7"	531
	"Mobile County, AL"	"01097"	"August"	"8"	598
	"Mobile County, AL"	"01097"	"September"	"9"	548
	"Mobile County, AL"	"01097"	"October"	"10"	520
	"Mobile County, AL"	"01097"	"November"	"11"	489
	"Mobile County, AL"	"01097"	"December"	"12"	542
"Total"	"Mobile County, AL"	"01097"			6206
	"Montgomery County, AL"	"01101"	"January"	"1"	310
	"Montgomery County, AL"	"01101"	"February"	"2"	275
	"Montgomery County, AL"	"01101"	"March"	"3"	315
	"Montgomery County, AL"	"01101"	"April"	"4"	318
	"Montgomery County, AL"	"01101"	"May"	"5"	268
	"Montgomery County, AL"	"01101"	"June"	"6"	301
	"Montgomery County, AL"	"01101"	"July"	"7"	265
	"Montgomery County, AL"	"01101"	"August"	"8"	329
	"Montgomery County, AL"	"01101"	"September"	"9"	297
	"Montgomery County, AL"	"01101"	"October"	"10"	320
	"Montgomery County, AL"	"01101"	"November"	"11"	264
	"Montgomery County, AL"	"01101"	"December"	"12"	299
"Total"	"Montgomery County, AL"	"01101"			3561
	"Morgan County, AL"	"01103"	"January"	"1"	134
	"Morgan County, AL"	"01103"	"February"	"2"	119
	"Morgan County, AL"	"01103"	"March"	"3"	128
	"Morgan County, AL"	"01103"	"April"	"4"	152
	"Morgan County, AL"	"01103"	"May"	"5"	121
	"Morgan County, AL"	"01103"	"June"	"6"	149
	"Morgan County, AL"	"01103"	"July"	"7"	154
	"Morgan County, AL"	"01103"	"August"	"8"	148
	"Morgan County, AL"	"01103"	"September"	"9"	141
	"Morgan County, AL"	"01103"	"October"	"10"	133
	"Morgan County, AL"	"01103"	"November"	"11"	110
	"Morgan County, AL"	"01103"	"December"	"12"	131
"Total"	"Morgan County, AL"	"01103"			1620
	"Shelby County, AL"	"01117"	"January"	"1"	200
	"Shelby County, AL"	"01117"	"February"	"2"	223
	"Shelby County, AL"	"01117"	"March"	"3"	221
	"Shelby County, AL"	"01117"	"April"	"4"	228
	"Shelby County, AL"	"01117"	"May"	"5"	220
	"Shelby County, AL"	"01117"	"June"	"6"	242
	"Shelby County, AL"	"01117"	"July"	"7"	231
	"Shelby County, AL"	"01117"	"August"	"8"	240
	"Shelby County, AL"	"01117"	"September"	"9"	217
	"Shelby County, AL"	"01117"	"October"	"10"	195
	"Shelby County, AL"	"01117"	"November"	"11"	185
	"Shelby County, AL"	"01117"	"December"	"12"	240
"Total"	"Shelby County, AL"	"01117"			2642
	"Tuscaloosa County, AL"	"01125"	"January"	"1"	241
	"Tuscaloosa County, AL"	"01125"	"February"	"2"	206
	"Tuscaloosa County, AL"	"01125"	"March"	"3"	193
	"Tuscaloosa County, AL"	"01125"	"April"	"4"	223
	"Tuscaloosa County, AL"	"01125"	"May"	"5"	206
	"Tuscaloosa County, AL"	"01125"	"June"	"6"	183
	"Tuscaloosa County, AL"	"01125"	"July"	"7"	209
	"Tuscaloosa County, AL"	"01125"	"August"	"8"	241
	"Tuscaloosa County, AL"	"01125"	"September"	"9"	217
	"Tuscaloosa County, AL"	"01125"	"October"	"10"	233
	"Tuscaloosa County, AL"	"01125"	"November"	"11"	199
	"Tuscaloosa County, AL"	"01125"	"December"	"12"	244
"Total"	"Tuscaloosa County, AL"	"01125"			2595
	"Unidentified Counties, AL"	"01999"	"January"	"1"	2380
	"Unidentified Counties, AL"	"01999"	"February"	"2"	2150
	"Unidentified Counties, AL"	"01999"	"March"	"3"	2161
	"Unidentified Counties, AL"	"01999"	"April"	"4"	2211
	"Unidentified Counties, AL"	"01999"	"May"	"5"	2162
	"Unidentified Counties, AL"	"01999"	"June"	"6"	2195
	"Unidentified Counties, AL"	"01999"	"July"	"7"	2364
	"Unidentified Counties, AL"	"01999"	"August"	"8"	2512
	"Unidentified Counties, AL"	"01999"	"September"	"9"	2360
	"Unidentified Counties, AL"	"01999"	"October"	"10"	2342
	"Unidentified Counties, AL"	"01999"	"November"	"11"	2067
	"Unidentified Counties, AL"	"01999"	"December"	"12"	2413
"Total"	"Unidentified Counties, AL"	"01999"			27317
	"Anchorage Borough, AK"	"02020"	"January"	"1"	364
	"Anchorage Borough, AK"	"02020"	"February"	"2"	383
	"Anchorage Borough, AK"	"02020"	"March"	"3"	376
	"Anchorage Borough, AK"	"02020"	"April"	"4"	353
	"Anchorage Borough, AK"	"02020"	"May"	"5"	339
	"Anchorage Borough, AK"	"02020"	"June"	"6"	416
	"Anchorage Borough, AK"	"02020"	"July"	"7"	420
	"Anchorage Borough, AK"	"02020"	"August"	"8"	407
	"Anchorage Borough, AK"	"02020"	"September"	"9"	422
	"Anchorage Borough, AK"	"02020"	"October"	"10"	446
	"Anchorage Borough, AK"	"02020"	"November"	"11"	356
	"Anchorage Borough, AK"	"02020"	"December"	"12"	375
"Total"	"Anchorage Borough, AK"	"02020"			4657
	"Unidentified Counties, AK"	"02999"	"January"	"1"	512
	"Unidentified Counties, AK"	"02999"	"February"	"2"	550
	"Unidentified Counties, AK"	"02999"	"March"	"3"	558
	"Unidentified Counties, AK"	"02999"	"April"	"4"	573
	"Unidentified Counties, AK"	"02999"	"May"	"5"	613
	"Unidentified Counties, AK"	"02999"	"June"	"6"	583
	"Unidentified Counties, AK"	"02999"	"July"	"7"	596
	"Unidentified Counties, AK"	"02999"	"August"	"8"	602
	"Unidentified Counties, AK"	"02999"	"September"	"9"	587
	"Unidentified Counties, AK"	"02999"	"October"	"10"	531
	"Unidentified Counties, AK"	"02999"	"November"	"11"	507
	"Unidentified Counties, AK"	"02999"	"December"	"12"	573
"Total"	"Unidentified Counties, AK"	"02999"			6785
	"Cochise County, AZ"	"04003"	"January"	"1"	168
	"Cochise County, AZ"	"04003"	"February"	"2"	134
	"Cochise County, AZ"	"04003"	"March"	"3"	169
