"Notes"	"County"	"County Code"	"Month"	"Month Code"	Births
	"Baldwin County, AL"	"01003"	"January"	"1"	153
	"Baldwin County, AL"	"01003"	"February"	"2"	162
	"Baldwin County, AL"	"01003"	"March"	"3"	167
	"Baldwin County, AL"	"01003"	"April"	"4"	168
	"Baldwin County, AL"	"01003"	"May"	"5"	166
	"Baldwin County, AL"	"01003"	"June"	"6"	180
	"Baldwin County, AL"	"01003"	"July"	"7"	184
	"Baldwin County, AL"	"01003"	"August"	"8"	214
	"Baldwin County, AL"	"01003"	"September"	"9"	186
	"Baldwin County, AL"	"01003"	"October"	"10"	191
	"Baldwin County, AL"	"01003"	"November"	"11"	177
	"Baldwin County, AL"	"01003"	"December"	"12"	161
"Total"	"Baldwin County, AL"	"01003"			2109
	"Calhoun County, AL"	"01015"	"January"	"1"	107
	"Calhoun County, AL"	"01015"	"February"	"2"	83
	"Calhoun County, AL"	"01015"	"March"	"3"	94
	"Calhoun County, AL"	"01015"	"April"	"4"	101
	"Calhoun County, AL"	"01015"	"May"	"5"	122
	"Calhoun County, AL"	"01015"	"June"	"6"	117
	"Calhoun County, AL"	"01015"	"July"	"7"	122
	"Calhoun County, AL"	"01015"	"August"	"8"	105
	"Calhoun County, AL"	"01015"	"September"	"9"	113
	"Calhoun County, AL"	"01015"	"October"	"10"	121
	"Calhoun County, AL"	"01015"	"November"	"11"	110
	"Calhoun County, AL"	"01015"	"December"	"12"	100
"Total"	"Calhoun County, AL"	"01015"			1295
	"Etowah County, AL"	"01055"	"January"	"1"	99
	"Etowah County, AL"	"01055"	"February"	"2"	84
	"Etowah County, AL"	"01055"	"March"	"3"	112
	"Etowah County, AL"	"01055"	"April"	"4"	73
	"Etowah County, AL"	"01055"	"May"	"5"	104
	"Etowah County, AL"	"01055"	"June"	"6"	86
	"Etowah County, AL"	"01055"	"July"	"7"	83
	"Etowah County, AL"	"01055"	"August"	"8"	102
	"Etowah County, AL"	"01055"	"September"	"9"	96
